TeluguWords_Frequency,Frequency,Telugu,English
మీరు 5682,5682,మీరు ,you 
నేను 4727,4727,నేను ,I am 
ఒక 2376,2376,ఒక ,a 
మరియు 1586,1586,మరియు ,And 
ఉంది 1485,1485,ఉంది ,There is 
మేము 1298,1298,మేము ,We are 
ఈ 1286,1286,ఈ ,This 
లేదు 1207,1207,లేదు ,No 
నా 1187,1187,నా ,My 
మీ 1143,1143,మీ ,m 
నాకు 1098,1098,నాకు ,to me 
ఆ 1014,1014,ఆ ,That 
ఇది 970,970,ఇది ,This is 
అతను 954,954,అతను ,He is 
అవును 873,873,అవును ,Yes 
యొక్క 824,824,యొక్క ,of 
ఇక్కడ 732,732,ఇక్కడ ,Here 
అన్ని 680,680,అన్ని ,All 
కాదు 675,675,కాదు ,No 
అది 624,624,అది ,That's it 
ఏమి 614,614,ఏమి ,what 
కానీ 567,567,కానీ ,But 
కోసం 551,551,కోసం ,for 
ఉన్నాయి 529,529,ఉన్నాయి ,There are 
వారు 527,527,వారు ,They are 
లో 522,522,లో ,in 
ఇప్పుడు 502,502,ఇప్పుడు ,Now 
తెలుసు 492,492,తెలుసు ,know 
వచ్చింది 449,449,వచ్చింది ,came 
సంఖ్య 424,424,సంఖ్య ,no 
కుడి 411,411,కుడి ,right 
కలిగి 398,398,కలిగి ,have 
గొన్న 397,397,గొన్న ,gonna 
ఉంటుంది 392,392,ఉంటుంది ,will be 
మంచి 368,368,మంచి ,good 
హే 357,357,హే ,hey 
న 348,348,న ,On 
ఏమిటి 347,347,ఏమిటి ,what 
చూడండి 331,331,చూడండి ,See 
ఎలా 327,327,ఎలా ,how 
నుండి 326,326,నుండి ,from 
తిరిగి 326,326,తిరిగి ,back 
ఉంటాయి 324,324,ఉంటాయి ,are 
కేవలం 321,321,కేవలం ,Just 
సరే 321,321,సరే ,ok 
ఓహ్ 320,320,ఓహ్ ,oh 
ఎందుకు 316,316,ఎందుకు ,why 
వద్ద 312,312,వద్ద ,at 
అక్కడ 306,306,అక్కడ ,there 
అని 292,292,అని ,that 
కొన్ని 281,281,కొన్ని ,Some 
బాగా 276,276,బాగా ,well 
am 272,272,am ,a.m 
వెళ్ళి 270,270,వెళ్ళి ,go 
మా 268,268,మా ,Our 
అవసరం 265,265,అవసరం ,required 
లేదా 263,263,లేదా ,Or 
ఉంటే 263,263,ఉంటే ,If 
వంటి 253,253,వంటి ,such as 
తో 245,245,తో ,with 
ధన్యవాదాలు 239,239,ధన్యవాదాలు ,thank you 
చేస్తున్నాను 227,227,చేస్తున్నాను ,doing 
ఏ 226,226,ఏ ,A 
రెండు 225,225,రెండు ,Two 
వ్యక్తి 221,221,వ్యక్తి ,the person 
తన 220,220,తన ,His 
డౌన్ 215,215,డౌన్ ,Down 
ఏదో 214,214,ఏదో ,something 
అప్ 213,213,అప్ ,Up 
పొందుటకు 212,212,పొందుటకు ,to get 
పొందండి 208,208,పొందండి ,get 
మీకు 207,207,మీకు ,to you 
మనిషి 201,201,మనిషి ,the man 
సర్ 200,200,సర్ ,sir 
మాకు 197,197,మాకు ,to us 
వాటిని 191,191,వాటిని ,them 
నన్ను 188,188,నన్ను ,me 
పని 187,187,పని ,work 
సమయం 183,183,సమయం ,time 
సో 179,179,సో ,So 
నిజంగా 177,177,నిజంగా ,Really 
ఎప్పుడూ 174,174,ఎప్పుడూ ,Never 
ఎవరు 172,172,ఎవరు ,who 
ప్రతి 160,160,ప్రతి ,Each 
అతనికి 160,160,అతనికి ,to him 
బయటకు 159,159,బయటకు ,out 
డబ్బు 158,158,డబ్బు ,money 
ఖచ్చితంగా 158,158,ఖచ్చితంగా ,Absolutely 
రోజు 156,156,రోజు ,the day 
ద్వారా 156,156,ద్వారా ,by 
ఉండాలి 154,154,ఉండాలి ,should be 
ఏం 154,154,ఏం ,what 
కూడా 152,152,కూడా ,Also 
వేచి 149,149,వేచి ,wait 
దయచేసి 149,149,దయచేసి ,Please 
కొద్దిగా 147,147,కొద్దిగా ,a little 
పేరు 147,147,పేరు ,the name 
ముందు 145,145,ముందు ,Before 
చేసిన 145,145,చేసిన ,done 
సహాయం 144,144,సహాయం ,help 
ఎక్కడ 142,142,ఎక్కడ ,where 
రాత్రి 141,141,రాత్రి ,the night 
ఆఫ్ 140,140,ఆఫ్ ,Off 
ఓకే 138,138,ఓకే ,ok 
ఫక్ 137,137,ఫక్ ,Fuck 
విషయం 137,137,విషయం ,thing 
అనుకుంటున్నారా 135,135,అనుకుంటున్నారా ,do you want 
కాబట్టి 134,134,కాబట్టి ,So 
అర్థం 131,131,అర్థం ,meaning 
నం 131,131,నం ,No 
దేవుని 129,129,దేవుని ,God 
అప్పుడు 128,128,అప్పుడు ,Then 
మార్గం 126,126,మార్గం ,the way 
ఇష్టం 126,126,ఇష్టం ,like 
ఏదైనా 124,124,ఏదైనా ,anything 
తెలుసా 123,123,తెలుసా ,Do you know 
అబ్బాయిలు 123,123,అబ్బాయిలు ,boys 
మాత్రమే 122,122,మాత్రమే ,Only 
వదిలి 119,119,వదిలి ,left 
వెళ్ళండి 118,118,వెళ్ళండి ,go 
వస్తాయి 118,118,వస్తాయి ,will come
ఫకింగ్ 116,116,ఫకింగ్ ,fucking 
ఎవరైనా 115,115,ఎవరైనా ,anyone 
చేయవచ్చు 113,113,చేయవచ్చు ,can do 
ప్రజలు 113,113,ప్రజలు ,the people 
అనుకుంటున్నాను 113,113,అనుకుంటున్నాను ,I think 
జాక్ 113,113,జాక్ ,Jack 
మిస్టర్ 108,108,మిస్టర్ ,Mr 
లెట్ 108,108,లెట్ ,let 
అంటే 107,107,అంటే ,That is 
మళ్ళీ 104,104,మళ్ళీ ,Again 
బర్ట్ 104,104,బర్ట్ ,Burt 
కు 103,103,కు ,to 
తెలిసిన 101,101,తెలిసిన ,Known 
చేస్తుంది 100,100,చేస్తుంది ,will do 
పడుతుంది 99,99,పడుతుంది ,will take 
పెద్ద 99,99,పెద్ద ,big 
చేశారు 98,98,చేశారు ,did 
చెప్పండి 96,96,చెప్పండి ,tell me 
ఎల్లప్పుడూ 96,96,ఎల్లప్పుడూ ,Always 
అతని 95,95,అతని ,his 
తప్పు 95,95,తప్పు ,wrong 
చూడాలి 94,94,చూడాలి ,Must see 
కంటే 94,94,కంటే ,Than 
ఉన్నప్పుడు 93,93,ఉన్నప్పుడు ,When 
జస్ట్ 91,91,జస్ట్ ,Just 
చిన్న 91,91,చిన్న ,small 
చుట్టూ 90,90,చుట్టూ ,around 
లుక్ 89,89,లుక్ ,look 
ప్రేమ 88,88,ప్రేమ ,love 
ఏమీ 88,88,ఏమీ ,nothing 
మొదటి 88,88,మొదటి ,First 
జీవితం 88,88,జీవితం ,the life 
వన్నా 87,87,వన్నా ,even if 
వరకు 86,86,వరకు ,until 
నాశనం 85,85,నాశనం ,destroy 
కాలేదు 85,85,కాలేదు ,could not 
చంపడానికి 84,84,చంపడానికి ,to kill 
ఇప్పటికీ 84,84,ఇప్పటికీ ,Still 
గుడ్ 84,84,గుడ్ ,good 
పూర్తి 83,83,పూర్తి ,complete 
మూడు 82,82,మూడు ,Three 
మరింత 82,82,మరింత ,More 
తండ్రి 81,81,తండ్రి ,the father 
తర్వాత 81,81,తర్వాత ,After 
కావలసిన 81,81,కావలసిన ,want 
అనుకున్నాను 81,81,అనుకున్నాను ,I thought 
గాడిద 80,80,గాడిద ,Donkey 
పాత 80,80,పాత ,old 
గో 79,79,గో ,Go 
గొప్ప 78,78,గొప్ప ,great 
ప్లే 78,78,ప్లే ,Play 
కారు 77,77,కారు ,Car
శిశువు 77,77,శిశువు ,the baby 
అధ్యక్షుడు 76,76,అధ్యక్షుడు ,President 
జరిగినది 75,75,జరిగినది ,happened 
సమస్య 75,75,సమస్య ,problem 
అయితే 75,75,అయితే ,However 
ఉండవచ్చు 74,74,ఉండవచ్చు ,May be 
జరిగింది 74,74,జరిగింది ,happened 
సైన్ 74,74,సైన్ ,Sign 
అదే 73,73,అదే ,That's it 
